Name,Age,Nationality,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height,Weight,Release Clause
21 E. Viveros,24,Ecuador,65,LDU Quito,300000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,196,90,668000.0
22 S. Scheperman,19,Netherlands,74,Heracles Almelo,500000.0,700.0,1.0,3.0,2.0,Medium/ High,Lean,RES,Permanent,188,78,1000000.0
S. Czyż,20,Poland,73,Raków Częstochowa,1100000.0,2000.0,1.0,4.0,3.0,Medium/ Medium,Normal,SUB,Permanent,176,76,1700000.0
Li Yalun,21,China PR,55,Zhejiang Professional FC,80000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,184,73,140000.0
A. Ekdal,32,Sweden,75,Spezia,4400000.0,18000.0,2.0,3.0,3.0,Medium/ Medium,Lean,LCM,Permanent,186,82,7900000.0
Thio Rolim,26,Brazil,73,Cuiabá,3300000.0,16000.0,1.0,2.0,2.0,Medium/ Medium,Normal,LW,Permanent,169,67,6300000.0
22 S. Pérez Bouquet,18,Mexico,76,Club Deportivo Guadalajara,925000.0,3000.0,1.0,2.0,3.0,Medium/ Medium,Lean,RES,Permanent,165,56,2200000.0
J. Marquez,18,Venezuela,72,Estudiantes de Mérida,210000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,79,662000.0
B. Kamara,22,France,86,Aston Villa,31000000.0,69000.0,2.0,3.0,3.0,Medium/ High,Lean,CDM,Permanent,184,68,65099999.99999999
A. Saelemaekers,23,Belgium,82,AC Milan,20000000.0,57000.0,1.0,4.0,3.0,High/ High,Lean,RW,Permanent,180,72,35500000.0
A. Herrera,23,Argentina,77,River Plate,3300000.0,10000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,178,75,4900000.0
22 M. Hosoya,19,Japan,76,Kashiwa Reysol,1900000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RS,Permanent,177,69,2800000.0
21 B. Gabard,20,France,68,AS Saint-Étienne,550000.0,4000.0,1.0,3.0,2.0,High/ Medium,Lean,RES,Permanent,185,70,1200000.0
S. Balobaid,22,Saudi Arabia,70,Al Taawoun,525000.0,3000.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,168,62,971000.0
21 E. Mawete Mwimba,20,Norway,69,Aalesunds FK,275000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Normal,SUB,Permanent,192,80,516000.0
M. Smets,18,Belgium,70,Sint-Truidense VV,190000.0,600.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,70,394000.0
22 E. Lara,19,Mexico,73,Club América,500000.0,3000.0,1.0,3.0,2.0,Low/ Medium,Normal,RES,Permanent,175,70,1200000.0
22 I. Da Silva,18,Portugal,65,Oldham Athletic,220000.0,900.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,182,65,429000.0
J. Melhado,21,England,66,Salford City,275000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,178,70,536000.0
21 J. Malou,22,Senegal,61,Columbus Crew,200000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,180,79,340000.0
A. Mazilu,16,Romania,75,FC Farul Constanța,350000.0,500.0,1.0,3.0,2.0,High/ Low,Lean,RES,Permanent,186,72,823000.0
D. Kotarski,22,Croatia,78,PAOK,2300000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,GK,Permanent,189,75,5500000.0
22 T. Ortega,20,Argentina,73,Club Atlético Independiente,1600000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Stocky,SUB,Permanent,185,72,2700000.0
J. James,21,Argentina,76,San Lorenzo de Almagro,1400000.0,2000.0,1.0,2.0,2.0,Low/ High,Stocky,LCB,Permanent,191,83,2400000.0
21 R. de Jesús,34,Ecuador,61,Club Deportivo El Nacional,110000.0,500.0,1.0,3.0,2.0,Medium/ High,Stocky,CDM,Permanent,182,76,237000.0
21 A. Vera,27,Paraguay,61,Club River Plate Asunción,200000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Normal,SUB,Permanent,180,78,445000.0
T. Pozzo,21,Argentina,75,Club Atlético Independiente,2500000.0,5000.0,1.0,2.0,3.0,High/ Low,Normal,SUB,Permanent,168,68,4300000.0
21 R. Herrera,19,Argentina,74,Defensa y Justicia,900000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,181,76,1500000.0
22 A. Ljajić,29,Serbia,74,Beşiktaş JK,4099999.9999999995,37000.0,2.0,4.0,4.0,High/ Low,Lean,RES,Permanent,182,80,8199999.999999999
22 K. Nagai,32,Japan,67,FC Tokyo,825000.0,5000.0,1.0,4.0,2.0,High/ Low,Normal,RW,Permanent,178,71,1000000.0
D. Kerr,19,Canada,72,Toronto FC,575000.0,800.0,1.0,5.0,3.0,Medium/ Medium,Lean,SUB,Permanent,180,71,978000.0
20 J. Contreras,20,Colombia,63,Atlético Bucaramanga,100000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,174,67,155000.0
J. Raitala,33,Finland,67,HJK Helsinki,475000.0,500.0,1.0,5.0,2.0,Medium/ High,Normal,LCB,Permanent,181,76,1000000.0
A. Lallana,34,England,75,Brighton & Hove Albion,2600000.0,53000.0,2.0,5.0,4.0,High/ Medium,Lean,SUB,Permanent,178,73,4900000.0
21 G. Onugkha,23,Russia,67,Vejle Boldklub,600000.0,2000.0,1.0,3.0,2.0,High/ Low,Normal,SUB,Permanent,190,94,795000.0
22 D. Ortega,26,Bolivia,64,Club Always Ready,575000.0,500.0,1.0,3.0,3.0,High/ Low,Normal,SUB,Permanent,182,76,1300000.0
L. de Jong,31,Netherlands,79,PSV,15000000.0,24000.0,3.0,5.0,3.0,Medium/ Medium,Normal,ST,Permanent,188,86,21000000.0
C. Olses,21,Venezuela,79,Deportivo La Guaira FC,2200000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Lean,GK,Permanent,193,79,5200000.0
Fan Hengbo,22,China PR,61,Guangzhou FC,220000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,LM,Permanent,174,70,385000.0
J. Kwizera,23,Congo DR,64,Club de Foot Montréal,325000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,175,58,536000.0
T. Borevković,25,Croatia,76,Hajduk Split,2500000.0,650.0,1.0,3.0,2.0,Medium/ Medium,Normal,RCB,Permanent,194,86,5700000.0
S. Carson,36,England,65,Manchester City,80000.0,11000.0,2.0,3.0,1.0,Medium/ Medium,Stocky,SUB,Permanent,190,86,148000.0
G. Montiel,25,Argentina,81,Sevilla FC,20000000.0,28000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,175,70,43500000.0
Y. Cimignani,20,France,80,AC Ajaccio,3500000.0,8000.0,1.0,3.0,2.0,Medium/ Medium,Lean,LM,Permanent,176,68,7700000.0
S. Angori,18,Italy,73,Perugia,450000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,LWB,Permanent,184,72,979000.0
21 J. León,25,Ecuador,68,Delfín Sporting Club,550000.0,500.0,1.0,2.0,2.0,Low/ High,Normal,RCB,Permanent,180,78,1300000.0
M. Welch-Hayes,25,England,62,Harrogate Town,275000.0,2000.0,1.0,2.0,2.0,Medium/ High,Lean,RB,Permanent,180,77,502000.0
J. Gibson,24,England,69,Carlisle United,875000.0,3000.0,1.0,3.0,3.0,High/ High,Lean,RCM,Permanent,178,80,1600000.0
R. Odogwu,31,Italy,62,Südtirol,325000.0,850.0,1.0,3.0,3.0,Medium/ Medium,Stocky,SUB,Permanent,188,68,504000.0
M. Cooper,22,England,77,Plymouth Argyle,2300000.0,4000.0,1.0,3.0,1.0,Medium/ Medium,Normal,GK,Permanent,185,75,4500000.0
C. Dehmie,20,Côte d'Ivoire,69,Brisbane Roar,300000.0,800.0,1.0,2.0,2.0,High/ Low,Normal,SUB,Permanent,175,70,563000.0
22 S. Sanogo,19,Côte d'Ivoire,67,Benevento,220000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,178,75,490000.0
L. Offermann,20,Belgium,69,KAS Eupen,350000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,184,69,726000.0
21 J. Gatt,28,United States,61,Dundalk FC,325000.0,850.0,1.0,3.0,4.0,Medium/ Medium,Normal,SUB,Permanent,177,73,504000.0
M. Normann,26,Norway,77,Unknown,0.0,0.0,1.0,3.0,3.0,Medium/ High,Normal,SUB,Permanent,179,75,0.0
22 R. Massimo,20,Germany,78,VfB Stuttgart,3100000.0,9000.0,1.0,5.0,3.0,High/ Medium,Lean,SUB,Permanent,181,77,6200000.0
21 A. Voinescu,22,Romania,59,FC Voluntari,130000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,179,77,202000.0
21 D. Rodríguez,24,Colombia,63,Zamora Fútbol Club,325000.0,500.0,1.0,3.0,3.0,Medium/ Medium,Normal,LM,Permanent,165,63,723000.0
22 Sokratis,33,Greece,77,Olympiacos CFP,5000000.0,1000.0,3.0,2.0,2.0,Low/ High,Unique,RCB,Permanent,186,82,10500000.0
L. Kastrati,23,Kosovo,70,Legia Warszawa,1200000.0,3000.0,1.0,3.0,2.0,High/ Medium,Normal,SUB,Permanent,176,63,1700000.0
16 Javier Balboa,30,Equatorial Guinea,69,Al Faisaly,950000.0,10000.0,1.0,3.0,3.0,Medium/ Low,Lean,CAM,Permanent,182,74,0.0
S. Valverde,19,Bolivia,72,Royal Pari,500000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,175,75,1400000.0
22 C. Van Daele,20,Belgium,67,KAA Gent,425000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,177,63,723000.0
F. Fagúndez,21,Uruguay,80,Club Nacional de Football,3200000.0,500.0,1.0,3.0,2.0,High/ Medium,Lean,SUB,Permanent,187,82,7700000.0
22 N. Moller,18,Sweden,76,Viktoria Köln,625000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,194,82,1300000.0
22 M. Mamaní,19,Argentina,74,Club Atlético Talleres,600000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,170,60,1300000.0
J. Bevan,19,England,64,Shrewsbury Town,240000.0,550.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,193,85,468000.0
22 A. Huamán,19,Peru,70,Universidad Técnica de Cajamarca,475000.0,500.0,1.0,3.0,3.0,Medium/ Medium,Normal,CAM,Permanent,170,65,1100000.0
22 R. Arancibia,21,Bolivia,70,Club Atlético Palmaflor,850000.0,500.0,1.0,3.0,3.0,High/ High,Lean,RB,Permanent,170,65,2000000.0
22 R. Hagelmeister,33,Austria,62,Türkgücü München,210000.0,1000.0,1.0,4.0,2.0,Medium/ High,Normal,RB,Permanent,172,68,305000.0
A. Bayew,20,Australia,63,Western United FC,275000.0,550.0,1.0,3.0,2.0,High/ Low,Lean,SUB,Permanent,175,67,399000.0
22 Hong Sung Moo,18,Korea Republic,65,Gangwon FC,110000.0,500.0,1.0,3.0,2.0,Medium/ High,Normal,RES,Permanent,173,67,206000.0
16 O. Al Muwallad,31,Saudi Arabia,67,Al Ittihad,475000.0,15000.0,1.0,3.0,2.0,Medium/ High,Stocky,LCB,Permanent,181,87,0.0
21 M. Sakava,19,Cameroon,76,Stade de Reims,775000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,169,61,2000000.0
R. Zietarski,29,Poland,63,VfB Oldenburg,400000.0,550.0,1.0,3.0,2.0,Medium/ Medium,Normal,CDM,Permanent,185,78,580000.0
T. Ojeda,19,Argentina,74,Villarreal Club de Fútbol B,575000.0,800.0,1.0,3.0,2.0,High/ Medium,Lean,SUB,Permanent,187,72,1300000.0
21 S. Jankovic,22,Serbia,63,Central Coast Mariners,300000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,175,85,435000.0
André Paulo,25,Portugal,70,Sporting CP,825000.0,2000.0,1.0,2.0,1.0,Medium/ Medium,Normal,RES,Permanent,185,78,1700000.0
20 B. Kazmaz,18,Turkey,69,Çaykur Rizespor,60000.0,500.0,1.0,1.0,1.0,Medium/ Medium,Normal,RES,Permanent,190,85,158000.0
C. Billemaz,23,France,70,FC Annecy,975000.0,1000.0,1.0,2.0,2.0,Medium/ High,Lean,SUB,Permanent,175,70,1900000.0
K. Iheanacho,25,Nigeria,79,Leicester City,13500000.0,74000.0,1.0,3.0,4.0,Medium/ Medium,Normal,SUB,Permanent,185,82,26700000.0
A. Pond,18,England,63,Exeter City,130000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,188,86,254000.0
W. Sandford,20,Sweden,64,St. Johnstone FC,300000.0,900.0,1.0,2.0,2.0,Medium/ High,Normal,SUB,Permanent,183,77,585000.0
M. Peltola,19,Finland,74,HJK Helsinki,500000.0,500.0,1.0,2.0,2.0,Medium/ High,Normal,RES,Permanent,187,70,1400000.0
R. Žulj,30,Austria,75,LASK Linz,5500000.0,26000.0,1.0,3.0,3.0,Medium/ Medium,Normal,CAM,Permanent,189,89,8300000.000000001
L. Pfeiffer,25,Germany,73,VfB Stuttgart,2400000.0,16000.0,1.0,3.0,2.0,Medium/ Medium,Stocky,SUB,Permanent,196,98,4500000.0
D. Aguirre,22,United States,64,LA Galaxy,325000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,175,64,553000.0
21 O. Rimmen,19,Denmark,68,FC Nordsjælland,210000.0,1000.0,1.0,2.0,3.0,High/ Medium,Lean,SUB,Permanent,170,64,394000.0
H. Jewitt-White,18,Wales,73,Portsmouth,250000.0,700.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,183,71,688000.0
21 N. Onuoha,33,England,68,Real Salt Lake,575000.0,3000.0,2.0,2.0,2.0,Low/ Medium,Stocky,LCB,Permanent,183,78,834000.0
S. Wharton,24,England,76,Blackburn Rovers,2600000.0,21000.0,1.0,3.0,2.0,Low/ High,Normal,LCB,Permanent,182,78,5100000.0
J. Weir,20,England,72,Morecambe,550000.0,6000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RCM,"<a href=""/team/1808/brighton-hove-albion/"">Brighton &amp; Hove Albion</a>",184,74,0.0
H. Melland,17,Norway,71,Aalesunds FK,200000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,178,64,375000.0
R. Amalfitano,32,France,70,Western Sydney Wanderers,1300000.0,6000.0,1.0,4.0,3.0,Medium/ High,Normal,RDM,Permanent,173,68,1600000.0
22 L. González,23,Paraguay,68,Guaireña FC,850000.0,500.0,1.0,3.0,2.0,Medium/ Low,Normal,RS,Permanent,180,73,1900000.0
A. Bonnet,35,France,67,US Quevilly Rouen Métropole,425000.0,2000.0,1.0,4.0,3.0,Medium/ Medium,Lean,LM,Permanent,173,65,744000.0
S. Kagawa,33,Japan,72,Sint-Truidense VV,1500000.0,11000.0,3.0,4.0,4.0,Medium/ Low,Lean,LF,Permanent,175,68,2200000.0
M. El Arouch,18,France,84,Olympique Lyonnais,2200000.0,5000.0,1.0,3.0,3.0,Medium/ Medium,Normal,RES,Permanent,172,64,5600000.0
22 M. Cantera,28,Uruguay,70,Club Nacional de Football,1600000.0,750.0,1.0,4.0,2.0,Medium/ Low,Stocky,CAM,Permanent,184,80,3500000.0
M. Sánchez,20,Chile,73,CD Antofagasta,500000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RS,Permanent,175,65,988000.0
Fabiano Souza,22,Brazil,79,SC Braga,2700000.0,5000.0,1.0,2.0,3.0,High/ Medium,Normal,SUB,Permanent,170,64,5900000.0
F. Londoño,21,Colombia,72,River Plate,1500000.0,4000.0,1.0,4.0,2.0,Medium/ Medium,Normal,RES,Permanent,180,82,2400000.0
S. Taylor,17,England,59,Tranmere Rovers,100000.0,500.0,1.0,3.0,2.0,High/ Low,Lean,RES,Permanent,178,70,195000.0
21 Y. Bonny,16,France,77,La Berrichonne de Châteauroux,450000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,188,86,1200000.0
B. Nadir,18,France,72,Olympique de Marseille,575000.0,2000.0,1.0,4.0,2.0,Medium/ Medium,Lean,RES,Permanent,179,62,1200000.0
22 Luna,30,Spain,68,FC Cartagena,1000000.0,3000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,178,68,1600000.0
22 J. Lewald,22,Germany,70,FC Viktoria 1889 Berlin,850000.0,850.0,1.0,3.0,2.0,Medium/ Medium,Normal,CB,Permanent,194,82,1400000.0
21 L. Agbenyenu,23,Ghana,78,Sporting CP,3500000.0,8000.0,1.0,3.0,2.0,High/ High,Normal,RES,Permanent,175,70,7700000.0
Miguel Baeza,22,Spain,77,RC Celta de Vigo,2700000.0,8000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,177,76,6200000.0
Juanlu Sánchez,18,Spain,74,CD Mirandés,750000.0,1000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,"<a href=""/team/481/sevilla-fc/"">Sevilla FC</a>",186,70,0.0
20 J. Vargas,23,Venezuela,59,Cúcuta Deportivo,70000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,170,65,109000.0
C. Humphreys,18,England,66,Ipswich Town,140000.0,750.0,1.0,2.0,2.0,Medium/ High,Lean,RES,Permanent,178,70,333000.0
G. Frabotta,23,Italy,78,Lecce,3400000.0,34000.0,1.0,3.0,2.0,High/ Medium,Lean,LB,"<a href=""/team/45/juventus/"">Juventus</a>",187,70,0.0
J. Rooney,31,England,63,Barrow,400000.0,2000.0,1.0,4.0,3.0,High/ High,Normal,CAM,Permanent,178,76,700000.0
N. Okafor,22,Switzerland,83,FC Red Bull Salzburg,12500000.0,25000.0,1.0,4.0,4.0,High/ Medium,Normal,LS,Permanent,185,85,21300000.0
J. Gbode,17,England,67,Gillingham,220000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,71,523000.0
Q. Abu Nayan,19,Saudi Arabia,62,Al Khaleej,130000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,172,60,241000.0
19 P. Crouch,37,England,72,Burnley,900000.0,30000.0,2.0,3.0,2.0,Medium/ Medium,Unique,SUB,Permanent,201,75,2100000.0
Sequeira,31,Portugal,76,SC Braga,5500000.0,14000.0,1.0,3.0,3.0,Medium/ Medium,Normal,LB,Permanent,184,79,11000000.0
J. Gouweleeuw,30,Netherlands,75,FC Augsburg,4600000.0,23000.0,2.0,2.0,2.0,High/ Medium,Normal,RES,Permanent,188,83,8300000.000000001
21 B. Williamson,17,Scotland,71,Ross County FC,190000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,179,70,451000.0
21 M. Özkal,20,Turkey,66,Denizlispor,425000.0,2000.0,1.0,2.0,2.0,Low/ Medium,Lean,SUB,Permanent,183,79,914000.0
T. Suslov,20,Slovakia,80,FC Groningen,4099999.9999999995,5000.0,1.0,3.0,3.0,High/ High,Stocky,LM,Permanent,173,72,6800000.0
I. Arboleda,26,Colombia,75,Rayo Vallecano,2000000.0,10000.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,182,80,4400000.0
P. Ndiaye,24,France,66,SC Rheindorf Altach,575000.0,2000.0,1.0,2.0,2.0,Low/ Medium,Lean,SUB,Permanent,203,71,877000.0
Wang Xianjun,22,China PR,69,Dalian Professional Football Club,325000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,185,71,707000.0
22 S. Mamba,27,Germany,66,F.C. Hansa Rostock,925000.0,4000.0,1.0,4.0,3.0,High/ Medium,Stocky,SUB,Permanent,177,75,1400000.0
B. Mendy,22,France,80,Angers SCO,3400000.0,10000.0,1.0,2.0,2.0,Medium/ High,Lean,LDM,Permanent,191,82,7500000.0
21 B. Fomba,20,Mali,70,AFC Chindia Târgoviște,675000.0,850.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,186,75,1000000.0
R. Raposo,23,Canada,69,Vancouver Whitecaps FC,750000.0,2000.0,1.0,2.0,3.0,High/ Medium,Lean,SUB,Permanent,170,64,1300000.0
L. King,18,Scotland,76,Rangers FC,375000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,185,75,1100000.0
22 N. Mercier,18,France,72,AJ Auxerre,350000.0,500.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,174,70,849000.0
M. Thalhammer,24,Germany,72,SSV Jahn Regensburg,1600000.0,5000.0,1.0,3.0,2.0,High/ High,Lean,LDM,Permanent,190,80,2600000.0
H. Stone,20,Scotland,71,Heart of Midlothian,425000.0,650.0,1.0,3.0,1.0,Medium/ Medium,Normal,RES,Permanent,191,70,1000000.0
21 A. Dekono,19,France,67,PEC Zwolle,425000.0,850.0,1.0,2.0,2.0,High/ Medium,Lean,RES,Permanent,185,75,701000.0
C. Ikonomidis,27,Australia,70,Melbourne Victory,1700000.0,6000.0,1.0,4.0,3.0,High/ Medium,Lean,SUB,Permanent,180,80,2100000.0
G. Ray,28,Wales,62,Barrow,350000.0,2000.0,1.0,2.0,2.0,Low/ High,Lean,RCB,Permanent,193,71,613000.0
M. Palomino,21,United States,76,Houston Dynamo,975000.0,1000.0,1.0,3.0,3.0,High/ Low,Normal,SUB,Permanent,178,67,2000000.0
S. Careaga,20,Argentina,77,Club Atlético Lanús,1900000.0,4000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,178,73,3200000.0
A. Chilili,19,Romania,68,FC Voluntari,190000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,183,70,375000.0
L. Rhöse,21,Sweden,62,Kalmar FF,230000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,187,81,334000.0
C. Cowell,18,United States,82,San Jose Earthquakes,2400000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Stocky,LM,Permanent,182,75,5000000.0
A. Mishra,20,India,69,Hyderabad FC,525000.0,500.0,1.0,4.0,2.0,High/ High,Lean,LB,Permanent,179,68,814000.0
M. van Ginkel,29,Netherlands,74,PSV,4099999.9999999995,16000.0,2.0,4.0,3.0,Medium/ Medium,Normal,SUB,Permanent,186,82,5700000.0
22 E. Skogvoll,25,Norway,59,Odds BK,190000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,173,72,252000.0
Huang Guangliang,23,China PR,65,Guangzhou FC,350000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RCM,Permanent,180,65,613000.0
21 T. Khotsupho,20,Thailand,66,Cerezo Osaka,275000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,174,58,413000.0
A. Laporte,28,Spain,87,Manchester City,64500000.0,195000.0,3.0,3.0,2.0,Medium/ Medium,Unique,LCB,Permanent,191,85,124200000.0
F. Herbst,22,Germany,68,VfB Oldenburg,575000.0,500.0,1.0,3.0,2.0,Low/ Medium,Normal,SUB,Permanent,190,83,949000.0
H. Kurucay,24,Turkey,72,Hamarkameratene,1200000.0,950.0,1.0,3.0,2.0,Low/ High,Lean,LCB,Permanent,185,79,1700000.0
Alexandre Pato,32,Brazil,71,Orlando City Soccer Club,1500000.0,6000.0,3.0,4.0,4.0,Medium/ Low,Normal,RM,Permanent,175,72,2300000.0
D. Fisher,20,England,66,AFC Wimbledon,250000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,75,488000.0
22 K. Fidelis,22,Nigeria,67,FC Vizela,500000.0,1000.0,1.0,3.0,3.0,Medium/ Low,Lean,RES,Permanent,177,75,1200000.0
22 D. Chesters,19,England,69,West Ham United,400000.0,5000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,173,68,840000.0
J. Gorenc,22,Slovenia,72,KAS Eupen,1200000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,192,80,2000000.0
E. Qenaj,19,Germany,69,1. FC Heidenheim 1846,500000.0,2000.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,198,95,875000.0
21 B. N'Diaye,21,Mauritania,71,CD Lugo,1000000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,187,82,1800000.0
22 K. Mina,27,Ecuador,69,Club Deportivo Guabirá,1500000.0,500.0,1.0,3.0,3.0,High/ Low,Stocky,SUB,Permanent,190,102,3200000.0
B. Sagal,23,Chile,65,Deportivo Ñublense,350000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,180,78,543000.0
22 K. Singh,23,India,57,Odisha FC,110000.0,500.0,1.0,3.0,2.0,Low/ High,Lean,SUB,Permanent,169,67,157000.0
D. Fofana,19,Côte d'Ivoire,83,Molde FK,2200000.0,1000.0,1.0,3.0,3.0,Medium/ Low,Normal,SUB,Permanent,181,82,4099999.9999999995
K. Moore,29,Wales,73,AFC Bournemouth,3000000.0,40000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,196,83,6000000.0
22 R. Grego-Cox,24,Republic of Ireland,61,Crawley Town,300000.0,2000.0,1.0,3.0,3.0,High/ Medium,Stocky,SUB,Permanent,174,65,548000.0
H. Bunker,19,England,62,Forest Green Rovers,200000.0,1000.0,1.0,3.0,2.0,Low/ High,Lean,SUB,Permanent,183,74,390000.0
G. Cowmeadow,18,Wales,63,Swindon Town,170000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,185,70,332000.0
22 P. Kouame,20,Sweden,67,IF Elfsborg,250000.0,750.0,1.0,2.0,3.0,Medium/ Medium,Lean,RES,Permanent,174,65,469000.0
22 D. Cheryshev,30,Russia,75,Valencia CF,5500000.0,30000.0,2.0,2.0,3.0,Medium/ Medium,Normal,SUB,Permanent,179,74,11600000.0
22 J. Aguilar,28,Paraguay,65,Club Sol de América,625000.0,500.0,1.0,4.0,2.0,Low/ High,Stocky,SUB,Permanent,183,81,1300000.0
M. Hannesbo,20,Denmark,69,AC Horsens,525000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,"<a href=""/team/820/aalborg-bk/"">Aalborg BK</a>",184,78,0.0
A. Ramos,23,Peru,74,FBC Melgar,1800000.0,500.0,1.0,3.0,2.0,High/ High,Normal,RB,Permanent,171,75,4200000.0
22 Heron,20,Brazil,68,Vejle Boldklub,525000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,186,78,761000.0
J. Ward,26,England,68,Peterborough United,1100000.0,5000.0,1.0,3.0,3.0,High/ Medium,Lean,RWB,Permanent,167,68,2000000.0
Óliver Torres,27,Spain,79,Sevilla FC,16000000.0,29000.0,2.0,4.0,3.0,High/ Medium,Normal,SUB,Permanent,175,70,34800000.0
N. Abbey,18,England,76,Reading,400000.0,850.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,187,74,1000000.0
C. Tolisso,27,France,81,Olympique Lyonnais,27500000.0,75000.0,3.0,3.0,3.0,High/ Medium,Normal,RCM,Permanent,181,81,52300000.0
22 S. Flores,26,Mexico,66,Club Deportivo Guadalajara,650000.0,9000.0,1.0,3.0,2.0,Low/ Medium,Normal,RCM,Permanent,184,82,1200000.0
T. O'Brien,27,England,78,AFC Richmond,5500000.0,31000.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,186,85,10900000.0
